"Category","Fuel","Segment","Euro Standard","Stock [n]","Mean Activity [km]","Lifetime Cumulative Activity [km]",
"Heavy Duty Trucks","Diesel","Articulated 14 - 20 t","Euro VII",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 20 - 28 t","Conventional",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 20 - 28 t","Euro I",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 20 - 28 t","Euro II",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 20 - 28 t","Euro III",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 20 - 28 t","Euro IV",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 20 - 28 t","Euro V",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 20 - 28 t","Euro VI A/B/C",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 20 - 28 t","Euro VI D/E",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 20 - 28 t","Euro VII",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 28 - 34 t","Conventional",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 28 - 34 t","Euro I",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 28 - 34 t","Euro II",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 28 - 34 t","Euro III",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 28 - 34 t","Euro IV",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 28 - 34 t","Euro V",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 28 - 34 t","Euro VI A/B/C",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 28 - 34 t","Euro VI D/E",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 28 - 34 t","Euro VII",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 34 - 40 t","Conventional",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 34 - 40 t","Euro I",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 34 - 40 t","Euro II",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 34 - 40 t","Euro III",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 34 - 40 t","Euro IV",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 34 - 40 t","Euro V",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 34 - 40 t","Euro VI A/B/C",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 34 - 40 t","Euro VI D/E",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 34 - 40 t","Euro VII",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 40 - 50 t","Conventional",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 40 - 50 t","Euro I",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 40 - 50 t","Euro II",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 40 - 50 t","Euro III",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 40 - 50 t","Euro IV",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 40 - 50 t","Euro V",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 40 - 50 t","Euro VI A/B/C",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 40 - 50 t","Euro VI D/E",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 40 - 50 t","Euro VII",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 50 - 60 t","Conventional",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 50 - 60 t","Euro I",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 50 - 60 t","Euro II",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 50 - 60 t","Euro III",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 50 - 60 t","Euro IV",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 50 - 60 t","Euro V",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 50 - 60 t","Euro VI A/B/C",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 50 - 60 t","Euro VI D/E",0,0,0,
"Heavy Duty Trucks","Diesel","Articulated 50 - 60 t","Euro VII",0,0,0,
"Heavy Duty Trucks","CNG","Rigid <=7,5 t","Euro VI D/E",0,0,0,
"Heavy Duty Trucks","CNG","Rigid <=7,5 t","Euro VII",0,0,0,
"Heavy Duty Trucks","CNG","Rigid 7,5 - 12 t","Euro VI D/E",0,0,0,
"Heavy Duty Trucks","CNG","Rigid 7,5 - 12 t","Euro VII",0,0,0,
"Heavy Duty Trucks","CNG","Rigid >12 t","Euro VI D/E",0,0,0,
"Heavy Duty Trucks","CNG","Rigid >12 t","Euro VII",0,0,0,
"Heavy Duty Trucks","CNG","Articulated < 40 t","Euro VI D/E",0,0,0,
"Heavy Duty Trucks","CNG","Articulated < 40 t","Euro VII",0,0,0,
"Heavy Duty Trucks","LNG","Articulated < 40 t","Euro VI D/E",0,0,0,
"Heavy Duty Trucks","LNG","Articulated < 40 t","Euro VII",0,0,0,
"Buses","Diesel","Urban Buses Midi <=15 t","Conventional",0,0,0,
"Buses","Diesel","Urban Buses Midi <=15 t","Euro I",0,0,0,
"Buses","Diesel","Urban Buses Midi <=15 t","Euro II",0,0,0,
"Buses","Diesel","Urban Buses Midi <=15 t","Euro III",0,0,0,
"Buses","Diesel","Urban Buses Midi <=15 t","Euro IV",0,0,0,
"Buses","Diesel","Urban Buses Midi <=15 t","Euro V",0,0,0,
"Buses","Diesel","Urban Buses Midi <=15 t","Euro VI A/B/C",0,0,0,
"Buses","Diesel","Urban Buses Midi <=15 t","Euro VI D/E",0,0,0,
"Buses","Diesel","Urban Buses Midi <=15 t","Euro VII",0,0,0,
"Buses","Diesel","Urban Buses Standard 15 - 18 t","Conventional",0,0,0,
"Buses","Diesel","Urban Buses Standard 15 - 18 t","Euro I",0,0,0,
"Buses","Diesel","Urban Buses Standard 15 - 18 t","Euro II",0,0,0,
"Buses","Diesel","Urban Buses Standard 15 - 18 t","Euro III",0,0,0,
"Buses","Diesel","Urban Buses Standard 15 - 18 t","Euro IV",0,0,0,
"Buses","Diesel","Urban Buses Standard 15 - 18 t","Euro V",0,0,0,
"Buses","Diesel","Urban Buses Standard 15 - 18 t","Euro VI A/B/C",0,0,0,
"Buses","Diesel","Urban Buses Standard 15 - 18 t","Euro VI D/E",0,0,0,
"Buses","Diesel","Urban Buses Standard 15 - 18 t","Euro VII",0,0,0,
"Buses","Diesel","Urban Buses Articulated >18 t","Conventional",0,0,0,
"Buses","Diesel","Urban Buses Articulated >18 t","Euro I",0,0,0,
"Buses","Diesel","Urban Buses Articulated >18 t","Euro II",0,0,0,
"Buses","Diesel","Urban Buses Articulated >18 t","Euro III",0,0,0,
"Buses","Diesel","Urban Buses Articulated >18 t","Euro IV",0,0,0,
"Buses","Diesel","Urban Buses Articulated >18 t","Euro V",0,0,0,
"Buses","Diesel","Urban Buses Articulated >18 t","Euro VI A/B/C",0,0,0,
"Buses","Diesel","Urban Buses Articulated >18 t","Euro VI D/E",0,0,0,
"Buses","Diesel","Urban Buses Articulated >18 t","Euro VII",0,0,0,
"Buses","Diesel","Coaches Standard <=18 t","Conventional",0,0,0,
"Buses","Diesel","Coaches Standard <=18 t","Euro I",0,0,0,
"Buses","Diesel","Coaches Standard <=18 t","Euro II",0,0,0,
"Buses","Diesel","Coaches Standard <=18 t","Euro III",0,0,0,
"Buses","Diesel","Coaches Standard <=18 t","Euro IV",0,0,0,
"Buses","Diesel","Coaches Standard <=18 t","Euro V",0,0,0,
"Buses","Diesel","Coaches Standard <=18 t","Euro VI A/B/C",0,0,0,
"Buses","Diesel","Coaches Standard <=18 t","Euro VI D/E",0,0,0,
"Buses","Diesel","Coaches Standard <=18 t","Euro VII",0,0,0,
"Buses","Diesel","Coaches Articulated >18 t","Conventional",0,0,0,
"Buses","Diesel","Coaches Articulated >18 t","Euro I",0,0,0,
"Buses","Diesel","Coaches Articulated >18 t","Euro II",0,0,0,
"Buses","Diesel","Coaches Articulated >18 t","Euro III",0,0,0,
"Buses","Diesel","Coaches Articulated >18 t","Euro IV",0,0,0,
"Buses","Diesel","Coaches Articulated >18 t","Euro V",0,0,0,
"Buses","Diesel","Coaches Articulated >18 t","Euro VI A/B/C",0,0,0,
"Buses","Diesel","Coaches Articulated >18 t","Euro VI D/E",0,0,0,
"Buses","Diesel","Coaches Articulated >18 t","Euro VII",0,0,0,
"Buses","Diesel Hybrid","Urban Buses Diesel Hybrid","Euro VI A/B/C",0,0,0,
"Buses","Diesel Hybrid","Urban Buses Diesel Hybrid","Euro VI D/E",0,0,0,
"Buses","Diesel Hybrid","Urban Buses Diesel Hybrid","Euro VII",0,0,0,
"Buses","Battery electric","-","Euro VI A/B/C",0,0,0,
"Buses","Battery electric","-","Euro VI D/E",0,0,0,
"Buses","Battery electric","-","Euro VII",0,0,0,
"Buses","CNG","Urban CNG Buses","Euro I",0,0,0,
"Buses","CNG","Urban CNG Buses","Euro II",0,0,0,
"Buses","CNG","Urban CNG Buses","Euro III",0,0,0,
"Buses","CNG","Urban CNG Buses","EEV",0,0,0,
"Buses","CNG","Urban CNG Buses <=15 t","Euro VI D/E",0,0,0,
"Buses","CNG","Urban CNG Buses <=15 t","Euro VII",0,0,0,
"Buses","CNG","Urban CNG Buses 15 - 18 t","Euro VI D/E",0,0,0,
"Buses","CNG","Urban CNG Buses 15 - 18 t","Euro VII",0,0,0,
"Buses","CNG","Urban CNG Buses >18 t","Euro VI D/E",0,0,0,
"Buses","CNG","Urban CNG Buses >18 t","Euro VII",0,0,0,
"Buses","Biodiesel","Urban Biodiesel Buses","Conventional",0,0,0,
"Buses","Biodiesel","Urban Biodiesel Buses","Euro I",0,0,0,
"Buses","Biodiesel","Urban Biodiesel Buses","Euro II",0,0,0,
"Buses","Biodiesel","Urban Biodiesel Buses","Euro III",0,0,0,
"Buses","Biodiesel","Urban Biodiesel Buses","Euro IV",0,0,0,
"Buses","Biodiesel","Urban Biodiesel Buses","Euro V",0,0,0,
"Buses","Biodiesel","Urban Biodiesel Buses","Euro VI A/B/C",0,0,0,
"Buses","Biodiesel","Urban Biodiesel Buses","Euro VI D/E",0,0,0,
"Buses","Biodiesel","Urban Biodiesel Buses","Euro VII",0,0,0,
"L-Category","Petrol","Mopeds 2-stroke <50 cm³","Conventional",0,0,0,
"L-Category","Petrol","Mopeds 2-stroke <50 cm³","Euro 1",0,0,0,
"L-Category","Petrol","Mopeds 2-stroke <50 cm³","Euro 2",0,0,0,
"L-Category","Petrol","Mopeds 2-stroke <50 cm³","Euro 3",0,0,0,
"L-Category","Petrol","Mopeds 2-stroke <50 cm³","Euro 4",0,0,0,
"L-Category","Petrol","Mopeds 2-stroke <50 cm³","Euro 5",0,0,0,
"L-Category","Petrol","Mopeds 4-stroke <50 cm³","Conventional",0,0,0,
"L-Category","Petrol","Mopeds 4-stroke <50 cm³","Euro 1",0,0,0,
"L-Category","Petrol","Mopeds 4-stroke <50 cm³","Euro 2",0,0,0,
"L-Category","Petrol","Mopeds 4-stroke <50 cm³","Euro 3",0,0,0,
"L-Category","Petrol","Mopeds 4-stroke <50 cm³","Euro 4",0,0,0,
"L-Category","Petrol","Mopeds 4-stroke <50 cm³","Euro 5",0,0,0,
"L-Category","Petrol","Motorcycles 2-stroke >50 cm³","Conventional",0,0,0,
"L-Category","Petrol","Motorcycles 2-stroke >50 cm³","Euro 1",0,0,0,
"L-Category","Petrol","Motorcycles 2-stroke >50 cm³","Euro 2",0,0,0,
"L-Category","Petrol","Motorcycles 2-stroke >50 cm³","Euro 3",0,0,0,
"L-Category","Petrol","Motorcycles 2-stroke >50 cm³","Euro 4",0,0,0,
"L-Category","Petrol","Motorcycles 2-stroke >50 cm³","Euro 5",0,0,0,
"L-Category","Petrol","Motorcycles 4-stroke <250 cm³","Conventional",0,0,0,
"L-Category","Petrol","Motorcycles 4-stroke <250 cm³","Euro 1",0,0,0,
"L-Category","Petrol","Motorcycles 4-stroke <250 cm³","Euro 2",0,0,0,
"L-Category","Petrol","Motorcycles 4-stroke <250 cm³","Euro 3",0,0,0,
"L-Category","Petrol","Motorcycles 4-stroke <250 cm³","Euro 4",0,0,0,
"L-Category","Petrol","Motorcycles 4-stroke <250 cm³","Euro 5",0,0,0,
"L-Category","Petrol","Motorcycles 4-stroke 250 - 750 cm³","Conventional",0,0,0,
"L-Category","Petrol","Motorcycles 4-stroke 250 - 750 cm³","Euro 1",0,0,0,
"L-Category","Petrol","Motorcycles 4-stroke 250 - 750 cm³","Euro 2",0,0,0,
"L-Category","Petrol","Motorcycles 4-stroke 250 - 750 cm³","Euro 3",0,0,0,
"L-Category","Petrol","Motorcycles 4-stroke 250 - 750 cm³","Euro 4",0,0,0,
"L-Category","Petrol","Motorcycles 4-stroke 250 - 750 cm³","Euro 5",0,0,0,
"L-Category","Petrol","Motorcycles 4-stroke >750 cm³","Conventional",0,0,0,
"L-Category","Petrol","Motorcycles 4-stroke >750 cm³","Euro 1",0,0,0,
"L-Category","Petrol","Motorcycles 4-stroke >750 cm³","Euro 2",0,0,0,
"L-Category","Petrol","Motorcycles 4-stroke >750 cm³","Euro 3",0,0,0,
"L-Category","Petrol","Motorcycles 4-stroke >750 cm³","Euro 4",0,0,0,
"L-Category","Petrol","Motorcycles 4-stroke >750 cm³","Euro 5",0,0,0,
"L-Category","Petrol","Quad & ATVs","Euro 1",0,0,0,
"L-Category","Petrol","Quad & ATVs","Euro 2",0,0,0,
"L-Category","Petrol","Quad & ATVs","Euro 3",0,0,0,
"L-Category","Petrol","Quad & ATVs","Euro 4",0,0,0,
"L-Category","Petrol","Quad & ATVs","Euro 5",0,0,0,
"L-Category","Diesel","Micro-car","Euro 1",0,0,0,
"L-Category","Diesel","Micro-car","Euro 2",0,0,0,
"L-Category","Diesel","Micro-car","Euro 3",0,0,0,
"L-Category","Diesel","Micro-car","Euro 4",0,0,0,
"L-Category","Diesel","Micro-car","Euro 5",0,0,0,
